"Index","Text","Bold","Underline","Color","Highlight"
"361","b. document.getElementById('id1')='c2'","False","False","",""
"362","c. document.getElementById('#id1').className ='c2'","False","False","",""
"363","d. document.getElementById('id1').class ='c2'","False","False","",""
"364","Câu hỏi 29: Để đếm xem trong trang web có bao nhiêu form ta sử dụng lệnh nào?","False","False","",""
"365","a. n = document.form.length;","False","False","",""
"366","b. n = document.forms.length();","False","False","",""
"367","c. n = document.forms.length;","True","False","","yellow"
"368","d. n = document.form.length();","False","False","",""
"369","Câu hỏi 30: Câu lệnh Javascript để quay về trang trước trong history của trình duyệt","False","False","",""
"370","a. <button onclick=""history.back()"">Go Back</button>","False","False","",""
"371","b. <button onclick=""history.go(-1)"">Go Back 2 Pages</button>","False","False","",""
"372","c. <button onclick=""history.go.back()"">Go Back 2 Pages</button>","False","False","",""
"373","d. Cả a,b đúng","True","False","","yellow"
"374","Câu hỏi 31: jQuery là:","False","False","",""
"375","a. Thư viện javascript giúp viết mã javascript nhanh gọn hơn","True","False","","yellow"
"376","b. Một đối tượng của javascript","False","False","",""
"377","c. Một dạng framework","False","False","",""
"378","d. Một phần mềm lập trình javascript","False","False","",""
"379","Câu hỏi 32: Phương thức jquery nào lấy (trả về) nội dung văn bản của tất cả các phần tử đã chọn:","False","False","",""
"380","a. html();","False","False","",""
"381","b. attr();","False","False","",""
"382","c. val();","False","False","",""
"383","d. text()","True","False","","yellow"
"384","Câu hỏi 33: Câu lệnh nào của jQuery tương đương với lệnh javascript: document.getElementById('id1').innerHTML=10;","False","False","",""
"385","a. $(“id1”).html(10);","False","False","",""
"386","b. $(""#id1"").html(10);","True","False","","yellow"
"387","c. $(""id1"").innerHTML=10;","False","False","",""
"388","d. $(""#id1"").htmlHTML=10;","False","False","",""
"389","Câu hỏi 34: Trong jQuery, để ẩn các thẻ p, sử dụng lệnh:","False","False","",""
"390","a. $(""<p>"").hide();","False","False","",""
"391","b. $(""p"").display(""none"");","False","False","",""
"392","c. $(""p"").display(""hide"");","False","False","",""
"393","d. $(""p"").hide();","True","False","","yellow"
"394","Câu hỏi 35: Để xóa phần tử có class là class1 bằng jQuery là:","False","False","",""
"395","a. $("".class1"")[0].remove();","True","False","","yellow"
"396","b. $(#class1)[0].remove();","False","False","",""
"397","c. $(""class1"")[1].remove();","False","False","",""
"398","d. $(""#class1"")[1].remove();","False","False","",""
"399","Câu hỏi 36: Khi xây dựng Web responsive, trang web sẽ có màu nền là gì khi truy cập bằng smart phone nếu trang có css như dưới?","False","False","",""
"400","@media only screen and (max-width: 768px) { body{background-color: red;} }","False","False","",""
"401","@media only screen and (max-width: 768px) { body{background-color: green;} }","False","False","",""
"402","@media only screen and (min-width: 992px) { body{background-color: blue;} }","False","False","",""
"403","@media only screen and (min-width: 1200px) { body{background-color: yellow;} }","False","False","",""
"404","a. Red","False","False","",""
"405","b. Green","True","False","","yellow"
"406","c. Blue","False","False","",""
"407","d. Yellow","False","False","",""
"408","Câu hỏi 37: Figma là:","False","False","",""
"409","a. Công cụ lập trình web","False","False","",""
"410","b. Công cụ thiết kế web","True","False","","yellow"
"411","c. Framework CSS","False","False","",""
"412","d. Thư viện javascript","False","False","",""
"413","Câu hỏi 38: Khi sử dụng emmet trong Visual Code để viết html, lệnh nào tạo ra bảng có id=id1 và có 3 dòng, mỗi dòng 2 cột, nội dung mỗi ô là 5 từ:","False","False","",""
"414","a. table>#id1>tr*3>td*2>lorem5","False","False","",""
"415","b. table>#id1>tr*3>td*2*lorem*5","False","False","",""
"416","c. table#id1>tr*3>td*2>lorem*5","True","False","","yellow"
"417","d. table#id1>tr*3>td*5>lorem5","False","False","",""
"418","Câu hỏi 39: Lệnh để sinh ra mã html như dưới sử dụng emmet là:","False","False","",""
"419","<div id=""container"">","False","False","",""
"420","<div id=""head"" class=""c1""></div>","False","False","",""
"421","<div id=""content"" class=""c2""></div>","False","False","",""
"422","</div>","False","False","",""
"423","a. #container>#head.c1+#content.c2","True","False","","yellow"
"424","b. #container>#head.c1>#content.c2","False","False","",""
"425","c. #container>(head.c1+content.c2)","False","False","",""
"426","d. container>(head.c1+content.c2)","False","False","",""
"427","Câu hỏi 40: AngularJS, ReactJS, và VueJS là:","False","False","",""
"428","a. Các thư viện/framework phổ biến để phát ứng dụng web fullstack","False","False","",""
"429","b. Các thư viện/framework phổ biến phát triển web backend","False","False","",""
"430","c. Các thư viện/framework phổ biến để phát triển giao diện người dùng trong ứng dụng web.","True","False","","yellow"
"431","d. Tất cả các câu trên là đúng","False","False","",""
"432","Đề 4:","True","False","00B050",""
"433","Thuộc tính nào được sử dụng để thay đổi kích thước chữ trong CSS?","True","False","auto",""
"434","font-size","True","False","auto","yellow"
"435","b. text-size","True","False","auto",""
"436","c. size","True","False","auto",""
"437","d. text-font","True","False","auto",""
"438","2. Selector nào được sử dụng để chọn phần tử <a> khi người dùng click (chọn) vào nó?","True","False","auto",""
"439","a. a:focus","True","False","auto",""
"440","b. a:active","True","False","auto","yellow"
"441","c. a:hover","True","False","auto",""
"442","d. a:visited","True","False","auto",""
"443","3. Khi sử dụng float trên một phần tử, phần tử này sẽ:","True","False","auto",""
"444","a. Thay đổi vị trí của phần tử cha","True","False","auto",""
"445","b. Bị kéo ra khỏi luồng bình thường của tài liệu","True","False","auto","yellow"
"446","c. Ảnh hưởng đến tất cả các phần tử anh em bên ngoài container","True","False","auto",""
"447","d. Không ảnh hưởng đến các phần tử khác","True","False","auto",""
"448","4. Thuộc tính CSS nào sau đây có thể được sử dụng để thiết lập một phần tử cố định ở góc dưới cùng bên phải của cửa sổ trình duyệt?","True","False","auto",""
"449","a. position: relative; bottom: 0; right: 0;","True","False","auto",""
"450","b. position: absolute; bottom: 0; right: 0;","True","False","auto",""
"451","c. position: fixed; bottom: 0; right: 0;","True","False","auto","yellow"
"452","d. position: static; bottom: 0; right: 0;","True","False","auto",""
"453","5. Thuộc tính CSS nào được sử dụng để trình bày các phần tử nằm cùng nhau trên một hàng? a. display: block;","True","False","auto",""
"454","b. display: inline;","True","False","auto","yellow"
"455","c. visibility: hidden;","True","False","auto",""
"456","d. display: none;","True","False","auto",""
"457","6. Selector nào chỉ chọn phần tử p chứa class ""example""?","True","False","auto",""
"458","a. p:example","True","False","auto",""
"459","b. .p.example","True","False","auto",""
"460","c. p.example","True","False","auto","yellow"
"461","d. p^example","True","False","auto",""
"462","7. Selector nào chọn phần tử <p> là phần tử con thứ 2 của phần tử cha tính từ cuối cùng? a. :nth-last-child(2)","True","False","auto",""
"463","b. p: nth-child(2)","True","False","auto",""
"464","c. p:nth-child(2)","True","False","auto",""
"465","d. p:nth-last-child(2)","True","False","auto","yellow"
"466","8. Selector nào chọn tất cả các phần tử <p> là anh em liền kề của một phần tử <p>?","True","False","auto",""
"467","a. p + p","True","False","auto","yellow"
"468","b. p ~ p","True","False","auto",""
"469","c. p, p","True","False","auto",""
"470","d. p p","True","False","auto",""
"471","9. Giá trị thuộc tính nào được đặt mặc định cho các phần tử html và không bị ảnh hưởng bởi các thuộc tính top, bottom, left và right.","True","False","auto",""
"472","a. position: static;","True","False","auto","yellow"
"473","b. position: relative;","True","False","auto",""
"474","c. position: fixed;","True","False","auto",""
"475","d. position: absolute;","True","False","auto",""
"476","10. Phần nội dung footer thường sử dụng thuộc tính nào để ngăn chặn các phần tử khác ảnh hưởng đến nó?","True","False","auto",""
"477","a. float: auto;","True","False","auto",""
"478","b. clear: auto;","True","False","auto",""
"479","c. overflow: hidden;","True","False","auto",""
"480","d. clear: both;","True","False","auto","yellow"
"481","11. Trong CSS, thuộc tính ""min-width"" được sử dụng để làm gì trong Responsive Web Design?","True","False","auto",""
"482","a. Xác định chiều rộng tối đa cho một phần tử","True","False","auto",""
"483","b. Xác định chiều cao tối đa cho một phần tử","True","False","auto",""
"484","c. Xác định chiều rộng tối thiểu cho một phần tử","True","False","auto","yellow"
"485","d. Xác định chiều cao tối thiểu cho một phần tử","True","False","auto",""
"486","12. Media query nào dưới đây áp dụng các quy tắc CSS chỉ khi thiết bị là máy in?","True","False","auto",""
"487","a. @media print {...}","True","False","auto","yellow"
"488","b. @media printer {...}","True","False","auto",""
"489","c. @media screen and (device: print) {...}","True","False","auto",""
"490","d. @media screen and (type: print) {...}","True","False","auto",""
"491","13. Media query nào dưới đây áp dụng các quy tắc CSS chỉ khi chiều cao của cửa sổ trình duyệt ít nhất là 400px và chiều rộng ít nhất là 600px?","True","False","auto",""
"492","a. @media screen and (min-height: 400px) and (max-width: 600px) {...}","True","False","auto",""
"493","b. @media screen and (height: 400px) and (width: 600px) {...}","True","False","auto",""
"494","c. @media screen and (min-height: 400px) and (min-width: 600px) {...}","True","False","auto","yellow"
"495","d. @media screen and (height: 400px) and (max-width: 600px) {...}","True","False","auto",""
"496","14. Thuộc tính CSS nào được sử dụng để xác định tỷ lệ mà một phần tử con sẽ co lại trong container Flexbox?","True","False","auto",""
"497","a. flex-grow","True","False","auto",""
"498","b. flex-basis","True","False","auto",""
"499","c. flex-shrink","True","False","auto","yellow"
"500","d. flex","True","False","auto",""
"501","15. Thuộc tính flex-basis được sử dụng để xác định điều gì về phần tử con trong container Flexbox?","True","False","auto",""
"502","a. Tỷ lệ mở rộng","True","False","auto",""
"503","b. Tỷ lệ co lại","True","False","auto",""
"504","c. Chỉ định độ dài ban đầu","True","False","auto","yellow"
"505","d. Chỉ định độ cao ban đầu","True","False","auto",""
"506","16. Trong JavaScript, từ khóa nào được sử dụng để khai báo một biến không thể thay đổi giá trị sau khi đã được gán giá trị?","True","False","auto",""
"507","a. let","True","False","auto",""
"508","b. var","True","False","auto",""
"509","c. const","True","False","auto","yellow"
"510","d. undefined","True","False","auto",""
"511","17. Kết quả của biểu thức 4 + ""4"" trong JavaScript là gì?","True","False","auto",""
"512","a. ""44""","True","False","auto","yellow"
"513","b. 8","True","False","auto",""
"514","c. NaN","True","False","auto",""
"515","d. undefined","True","False","auto",""
"516","18. Kết quả biến s là gì?","True","False","auto",""
"517","var s = parseInt(""1.7A"") + parseFloat(""2.5A"");","True","False","auto",""
"518","a. 3.2","True","False","auto",""
"519","b. 3.5","True","False","auto","yellow"
"520","c. ""1725""","True","False","auto",""
"521","d. 2.7","True","False","auto",""
"522","19. Đoạn mã nào có nhiệm vụ tạo đối tượng trong javascript?","True","False","auto",""
"523","a. conto dog = {};","True","False","auto",""
"524","b. conto dog = new Object();","True","False","auto",""
"525","c. conto dog = Object.create({});","True","False","auto",""
"526","d. Tất cả đều đúng","True","False","auto","yellow"
"527","20. Trong javascript, biểu thức x = y có nghĩa là:","True","False","auto",""
"528","a. Gán giá trị y cho x.","True","False","auto","yellow"
"529","b. Cả hai chỉ bằng nhau về giá trị.","True","False","auto",""
"530","c. Cả hai đều bằng nhau về giá trị và kiểu dữ liệu.","True","False","auto",""
"531","d. Cả hai bằng nhau về địa chỉ tham chiếu.","True","False","auto",""
"532","21. Lệnh: a! = ""10""; s2 = 5; alert(a! + s2); Kết quả trên hộp thoại Alert là","True","False","auto",""
"533","a. 15","True","False","auto",""
"534","b. ""10""5","True","False","auto",""
"535","c. 105","True","False","auto","yellow"
"536","d. ""55""","True","False","auto",""
"537","22. Cho đoạn mã javascript như sau:","True","False","auto",""
"538","var kq = ""Đại học Công Nghệ Sài Gòn"";","True","False","auto",""
"539","var kq_ = kq.split("" "");","True","False","auto",""
"540","Kết quả kq[4] của đoạn mã trên:","True","False","auto",""
"541","a. Đại","True","False","auto",""
"542","b. Nghệ","True","False","auto",""
"543","c. Gòn","True","False","auto",""
"544","d. Sài","True","False","auto","yellow"
"545","23. Kết quả của đoạn mã dưới đây là gì?","True","False","auto",""
"546","var array = [10, 20, 30, 40, 50];","True","False","auto",""
"547","var newArray = array.slice(1, 4);","True","False","auto",""
"548","console.log(newArray);","True","False","auto",""
"549","[20, 30, 40]","True","False","auto","yellow"
"550","[50, 40, 50]","True","False","auto",""
"551","[20, 30, 40, 50]","True","False","auto",""
"552","d. [10, 20, 30, 40]","True","False","auto",""
"553","24. Kết quả của đoạn mã javascript dưới đây:","True","False","auto",""
"554","let person = {","True","False","auto",""
"555","name: ""An"",","True","False","auto",""
"556","age:30","True","False","auto",""
"557","};","True","False","auto",""
"558","Object.keys(person).forEach(key => {","True","False","auto",""
"559","console.log(key);","True","False","auto",""
"560","});","True","False","auto",""
"561","a. age","True","False","auto",""
"562","b. Name","True","False","auto",""
"563","c. An 30","True","False","auto",""
"564","d. 'name age'","True","False","auto","yellow"
"565","25. Ngày hiện tại thiết lập trên máy tính là thứ Sáu ngày 21/6/2024, kết quả hộp thoại là gì sau lệnh: new Date().getDay();","True","False","auto",""
"566","a. 21","True","False","auto",""
"567","b. Fri","True","False","auto",""
"568","c. 0","True","False","auto",""
"569","d. 5","True","False","auto","yellow"
"570","26. Để đếm xem trong trang web có bao nhiêu form ta sử dụng lệnh nào?","True","False","auto",""
"571","a. n = document.form.length;","True","False","auto",""
"572","b. n = document.form.length();","True","False","auto",""
"573","c. n = document.forms.length;","True","False","auto","yellow"
"574","d. n = document.forms.length();","True","False","auto",""
"575","27. Câu lệnh nào để nhập nội dung thẻ div thành = ""abc"": <div id=""id1""></div>","True","False","auto",""
"576","a. document.getElementById('id1').innerHTML = ""abc"";","True","False","auto","yellow"
"577","b. document.getElementsByTagName('div').innerHTML = ""abc"";","True","False","auto",""
"578","c. document.getElementsByTagName('div').innerHTML = ""abc"";","True","False","auto",""
"579","d. document.getElementById('id1').innerText = ""abc"";","True","False","auto",""
"580","28. Để xóa toàn bộ nội dung trang web, dùng lệnh javascript nào?","True","False","auto",""
"581","a. document.body.innerHTML = """";","True","False","auto",""
"582","b. document.getElementsByTagName('body')[0].innerHTML = """";","True","False","auto",""
"583","c. Cả hai a, b đều sai","True","False","auto",""
"584","d. Cả hai a, b đều đúng","True","False","auto","yellow"
"585","29. Để chuyển trang web tới https://www.google.com/search?q=google.com.vn, sử dụng lệnh","True","False","auto",""
"586","a. URL.location = ""https://www.google.com.vn/""","True","False","auto",""
"587","b. window.URL.location=""https://www.google.com/""","True","False","auto",""
"588","c. window.location=""https://www.google.com.vn/""","True","False","auto","yellow"
"589","d. window.location=""https://www.google.com.""","True","False","auto",""
"590","30. Để thay đổi màu chữ của phần tử có name n thành 'red' là:","True","False","auto",""
"591","a. document.getElementsByName('n').color = 'red';","True","False","auto",""
"592","b. document.getElementsByName('n').add.color = 'red';","True","False","auto",""
"593","c. document.getElementsByName('n').style.color = 'red';","True","False","auto","yellow"
"594","d. document.getElementsByName('n').css.color = 'red';","True","False","auto",""
"595","31. jQuery là:","True","False","auto",""
"596","a. Một đối tượng của javascript","True","False","auto",""
"597","b. Thư viện javascript giúp viết mã javascript nhanh gọn hơn","True","False","auto","yellow"
"598","c. Một phần mềm lập trình javascript","True","False","auto",""
"599","d. Một dạng framework","True","False","auto",""
"600","32. Trong jQuery, để ẩn các thẻ p, sử dụng lệnh:","True","False","auto",""
"601","a. $('p').display(""hide"")","True","False","auto",""
"602","b. $('p').display(""none"")","True","False","auto",""
"603","c. $('p').hide()","True","False","auto",""
"604","d. $('p').hide();","True","False","auto","yellow"
"605","33. Phương thức jquery nào lấy (trả về) nội dung văn bản của tất cả các phần tử đã chọn: a. html()","True","False","auto",""
"606","b. val();","True","False","",""
"607","c. text()","True","False","auto","yellow"
"608","d. attr();","True","False","auto",""
"609","34. Để xóa phần tử thứ 2 có class là class1 bằng jQuery là:","True","False","auto",""
"610","a. $('class1')[0].remove();","True","False","auto",""
"611","b. $('class1')[1].remove();","True","False","auto",""
"612","c. $('class1').remove();","True","False","auto",""
"613","d. $('class1')[1].remove();","True","False","auto","yellow"
"614","35. Câu lệnh nào của jQuery tương đương với lệnh javascript: document.getElementById(""id1"").textContent = 10;","True","False","auto",""
"615","a. $(""#id1"").text(10);","True","False","auto","yellow"
"616","b. $(""#id1"").text(10);","True","False","auto",""
"617","c. $(""#id1"").textContent = 10;","True","False","auto",""
"618","d. $(""#id1"").textContent = 10;","True","False","auto",""
"619","36. AngularJS, ReactJS, và VueJS là:","True","False","auto",""
"620","a. Các thư viện/framework phổ biến để phát triển giao diện người dùng trong ứng dụng web.","True","False","auto","yellow"
"621","b. Các thư viện/framework phổ biến phát triển web backend","True","False","auto",""
"622","c. Các thư viện/framework phổ biến để phát triển ứng dụng web fullstack","True","False","auto",""
"623","d. Tất cả các câu trên là đúng","True","False","auto",""
"624","37. Figma là:","True","False","auto",""
"625","a. Công cụ lập trình web","True","False","auto",""
"626","b. Framework CSS","True","False","auto",""
"627","c. Công cụ thiết kế web","True","False","auto","yellow"
"628","d. Thư viện javascript","True","False","auto",""
"629","38. Lệnh để sinh ra mã html như dưới:","True","False","auto",""
"630","<div id=""container"">","True","False","auto",""
"631","<head>","True","False","auto",""
"632","<title>Content</title>","True","False","auto",""
"633","</head>","True","False","auto",""
"634","<body>","True","False","auto",""
"635","<div class=""content""></div>","True","False","auto",""
"636","</body>","True","False","auto",""
"637","</div>","True","False","auto",""
"638","#container>#head.c1>#content.c2","True","False","auto",""
"639","#container>head.c1+content.c2","True","False","auto",""
"640","#container>(head.c1+content.c2)","True","False","auto","yellow"
"641","d. container>(head.c1+content.c2)","True","False","auto",""
"642","39. Khi xây dựng Web responsive, trang web sẽ có màu nền là gì khi truy cập bằng smart phone nếu trang có css như dưới?","True","False","auto",""
"643","@media only screen and (max-width: 600px) {","True","False","auto",""
"644","body {background-color: yellow;}","True","False","auto",""
"645","}","True","False","auto",""
"646","@media only screen and (min-width: 601px) {","True","False","auto",""
"647","body {background-color: green;}","True","False","auto",""
"648","}","True","False","auto",""
"649","@media only screen and (min-width: 992px) {","True","False","auto",""
"650","body {background-color: blue;}","True","False","auto",""
"651","}","True","False","auto",""
"652","@media only screen and (min-width: 1200px) {","True","False","auto",""
"653","body {background-color: red;}","True","False","auto",""
"654","}","True","False","auto",""
"655","Red","True","False","auto",""
"656","Green","True","False","auto",""
"657","Blue","True","False","auto",""
"658","d. Yellow","True","False","auto","yellow"
"659","40. Khi sử dụng emmet trong Visual Code để thiết kế html, lệnh nào tạo ra bảng có id=id1 và có 3 dòng, mỗi dòng 2 cột, nội dung mỗi ô là từ 5 từ.","True","False","auto",""
"660","a. table#id1>tr*3>td*2>lorem*5","True","False","auto","yellow"
"661","b. table#id1>tr*3>td*2>lorem*5","True","False","auto",""
"662","c. table#id1>tr*3>td*2>lorem5","True","False","auto",""
"663","d. table#id1>tr*3>td*2>lorem5","True","False","auto",""
